Player,Team,Salary,Year,Age,Pos,G,GS,MP,3P,3PA,2P,2PA,ORB,DRB,AST,STL,BLK,PF,PTS
0,Stephen Curry,GSW,34682550.0,2017.0,28.0,PG,79.0,79.0,2638.0,324.0,789.0,351.0,654.0,61.0,292.0,523.0,143.0,17.0,183.0,1999.0
1,LeBron James,CLE,33285709.0,2017.0,32.0,SF,74.0,74.0,2794.0,124.0,342.0,612.0,1002.0,97.0,543.0,646.0,92.0,44.0,134.0,1954.0
2,Paul Millsap,DEN,31269231.0,2017.0,31.0,PF,69.0,67.0,2343.0,75.0,241.0,355.0,731.0,111.0,422.0,252.0,90.0,62.0,186.0,1246.0
3,Gordon Hayward,BOS,29727900.0,2017.0,26.0,SF,73.0,73.0,2516.0,149.0,374.0,396.0,782.0,49.0,344.0,252.0,73.0,20.0,117.0,1601.0
4,Blake Griffin,DET,29512900.0,2017.0,27.0,PF,61.0,61.0,2076.0,38.0,113.0,441.0,858.0,111.0,385.0,300.0,58.0,23.0,157.0,1316.0
5,Kyle Lowry,TOR,28703704.0,2017.0,30.0,PG,60.0,60.0,2244.0,193.0,468.0,233.0,450.0,48.0,240.0,417.0,88.0,19.0,170.0,1344.0
6,Russell Westbrook,OKC,28530608.0,2017.0,28.0,PG,81.0,81.0,2802.0,200.0,583.0,624.0,1358.0,137.0,727.0,840.0,133.0,31.0,190.0,2558.0
7,Mike Conley,MEM,28530608.0,2017.0,29.0,PG,69.0,68.0,2292.0,171.0,419.0,293.0,590.0,31.0,211.0,433.0,92.0,19.0,126.0,1415.0
8,James Harden,HOU,28299399.0,2017.0,27.0,PG,81.0,81.0,2947.0,262.0,756.0,412.0,777.0,95.0,564.0,906.0,120.0,37.0,215.0,2356.0
9,DeMar DeRozan,TOR,27739975.0,2017.0,27.0,SG,74.0,74.0,2620.0,33.0,124.0,688.0,1421.0,70.0,316.0,290.0,78.0,13.0,134.0,2020.0
10,Al Horford,BOS,27734405.0,2017.0,30.0,C,68.0,68.0,2193.0,86.0,242.0,293.0,559.0,95.0,369.0,337.0,52.0,87.0,138.0,952.0
11,Carmelo Anthony,OKC,26243760.0,2017.0,32.0,SF,74.0,74.0,2538.0,151.0,421.0,451.0,968.0,62.0,374.0,213.0,60.0,34.0,198.0,1659.0
12,Damian Lillard,POR,26153057.0,2017.0,26.0,PG,75.0,75.0,2694.0,214.0,578.0,447.0,910.0,46.0,322.0,439.0,68.0,20.0,152.0,2024.0
13,Jrue Holiday,NOP,25686667.0,2017.0,26.0,PG,67.0,61.0,2190.0,100.0,281.0,305.0,613.0,46.0,218.0,488.0,100.0,43.0,133.0,1029.0
14,Chris Bosh,MIA,25289390.0,,,,,,,,,,,,,,,,,
15,Kevin Durant,GSW,25000000.0,2017.0,28.0,SF,62.0,62.0,2070.0,117.0,312.0,434.0,714.0,39.0,474.0,300.0,66.0,99.0,117.0,1555.0
16,Otto Porter,WAS,24773250.0,2017.0,23.0,SF,80.0,80.0,2605.0,148.0,341.0,266.0,462.0,118.0,397.0,121.0,116.0,41.0,193.0,1075.0
17,Chris Paul,HOU,24599495.0,2017.0,31.0,PG,61.0,61.0,1921.0,124.0,302.0,250.0,483.0,41.0,263.0,563.0,118.0,8.0,146.0,1104.0
18,C.J. McCollum,POR,23962573.0,2017.0,25.0,SG,80.0,80.0,2796.0,185.0,440.0,507.0,1001.0,60.0,231.0,285.0,72.0,42.0,202.0,1837.0
19,Bradley Beal,WAS,23775506.0,2017.0,23.0,SG,77.0,77.0,2684.0,223.0,552.0,414.0,770.0,53.0,186.0,267.0,83.0,21.0,169.0,1779.0
20,Anthony Davis,NOP,23775506.0,2017.0,23.0,C,75.0,75.0,2708.0,40.0,134.0,730.0,1393.0,174.0,712.0,157.0,94.0,167.0,168.0,2099.0
21,Andre Drummond,DET,23775506.0,2017.0,23.0,C,81.0,81.0,2409.0,2.0,7.0,481.0,904.0,345.0,771.0,89.0,124.0,89.0,237.0,1105.0
22,Hassan Whiteside,MIA,23775506.0,2017.0,27.0,C,77.0,77.0,2513.0,0.0,0.0,542.0,973.0,293.0,795.0,57.0,56.0,161.0,226.0,1309.0
